stop_id,cluster
0,4
1,6
2,3
3,6
4,1
5,1
6,6
7,3
8,1
9,3
10,1
11,6
12,6
13,3
14,1
15,7
16,7
17,7
18,1
19,1
20,7
21,3
23,8
24,4
25,8
26,6
27,8
28,0
29,6
30,2
31,2
32,2
33,0
34,0
35,0
36,6
37,6
38,0
39,0
40,0
41,3
42,8
43,8
44,8
45,0
46,2
47,2
48,5
49,0
50,3
51,0
52,0
53,4
55,8
56,8
57,3
58,6
59,0
60,6
61,6
62,3
63,6
64,0
65,0
66,8
67,5
68,3
69,6
70,9
71,3
72,3
73,7
74,1
75,1
76,7
77,7
78,7
79,7
80,1
81,7
82,7
83,3
84,1
85,7
86,7
87,3
88,6
89,1
90,7
91,3
92,9
93,9
94,9
95,9
96,3
97,7
98,7
99,1
100,7
101,7
102,7
103,7
104,7
105,9
106,9
107,4
108,5
109,5
110,5
111,2
112,3
113,0
114,6
115,0
116,3
117,6
118,6
119,6
120,6
121,6
122,0
123,0
124,1
125,6
126,0
127,6
128,0
129,8
130,8
131,0
132,4
133,2
134,2
135,8
136,0
137,3
138,3
139,6
140,9
141,3
142,4
143,7
144,7
145,8
146,8
147,9
148,5
149,2
150,8
151,8
152,8
153,8
154,8
155,8
156,4
157,6
158,8
159,8
160,8
161,1
162,8
163,8
164,8
165,8
166,8
167,8
168,0
169,8
170,8
171,8
172,0
173,8
174,1
175,3
176,3
177,6
178,8
179,8
180,2
181,4
182,0
183,6
184,0
185,0
186,3
187,7
188,1
189,0
190,0
191,8
192,3
193,7
194,7
195,2
196,2
197,2
198,6
199,6
200,3
201,0
202,0
203,8
204,1
205,1
206,9
207,1
208,1
209,9
210,9
211,9
212,9
213,9
214,9
215,7
216,1
217,1
218,7
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,0
230,0
231,0
232,8
233,5
234,2
235,0
236,0
237,0
238,8
239,5
240,6
241,5
242,4
243,6
244,3
245,5
246,2
247,0
248,4
249,4
250,8
251,8
252,1
253,1
254,9
255,9
256,9
257,9
258,1
